code_postal,nom_commune
38460.0,DIZIMIEU
38380.0,SAINT-CHRISTOPHE-SUR-GUIERS
38490.0,GRANIEU
38930.0,LALLEY
38770.0,LA MOTTE-SAINT-MARTIN
38680.0,PRESLES
38290.0,SATOLAS-ET-BONCE
38150.0,ASSIEU
38650.0,TREFFORT
38650.0,SAINT-PAUL-LES-MONESTIER
38690.0,SAINT-DIDIER-DE-BIZONNES
38510.0,ARANDON-PASSINS
1640.0,SAINT-JEAN-LE-VIEUX
,BRAUMSCHWEIG
38150.0,VILLE-SOUS-ANJOU
38690.0,BIZONNES
38690.0,BEVENAIS
94200.0,IVRY-SUR-SEINE
7000.0,SAINT-PRIEST
38850.0,BILIEU
18270.0,CULAN
38530.0,LA BUISSIERE
88100.0,SAINT-DIE-DES-VOSGES
38160.0,MURINAIS
,ST JEAN DE MOIRANS
38630.0,LES AVENIERES VEYRINS THUELLIN
38220.0,SAINT-PIERRE-DE-MESAGE
10160.0,PLAN
38460.0,SOLEYMIEU
38390.0,LA BALME-LES-GROTTES
38510.0,SAINT-SORLIN-DE-MORESTEL
38300.0,SEREZIN-DE-LA-TOUR
38690.0,MONTREVEL
38122.0,MONSTEROUX-MILIEU
38570.0,HURTIERES
38730.0,CHASSIGNIEU
38690.0,TORCHEFELON
38960.0,SAINT-AUPRE
59390.0,L-
38840.0,SAINT-LATTIER
38260.0,SARDIEU
38510.0,BRANGUES
38490.0,LE PASSAGE
38590.0,SAINT-MICHEL-DE-SAINT-GEOIRS
,DAKAR
,GIFHORN
42120.0,COMMELLE
16350.0,LE BOUCHAGE
38680.0,SAINT-ANDRE-EN-ROYANS
38118.0,SAINT-BAUDILLE-DE-LA-TOUR
38260.0,PAJAY
38270.0,PISIEU
38220.0,LIVET-ET-GAVET
38480.0,SAINT JEAN D'AVELANNE
38930.0,CLELLES
38680.0,RENCUREL
38350.0,LA MORTE
38190.0,SAINT-MURY-MONTEYMOND
38690.0,CHABONS
38620.0,VOISSANT
38270.0,PRIMARETTE
38121.0,CHONAS L'AMBALLAN
38142.0,LE FRENEY D'OISANS
38870.0,SAINT-PIERRE-DE-BRESSIEUX
38300.0,BADINIERES
38260.0,BOSSIEU
38350.0,SUSVILLE
38390.0,CHARETTE
38550.0,AUBERIVES-SUR-VAREZE
,PINSOT
38350.0,ORIS-EN-RATTIER
38730.0,VALENCOGNE
