siren,nom_entreprise,adresse,ville,code_postal,code_epci
210102075,COMMUNE DE LAPEYROUSE,DE LA DOMBES,LAPEYROUSE,1330,200069193
325080240,RHONASOUD,DESCARTES,VILLEURBANNE,69100,200046977
510657638,STEPHANE JOUANNE,DES BRUYERES,MONTLUEL,1120,240100610
983998899,IRISOLAR 33,OLIVIER PERROY,ROUSSET,13790,200054807
419893235,GIRARDON MATERIAUX (GIRARDON MATERIAUX),IRENE JOLIOT CURIE,SAINT-PRIEST,69800,200046977
932380413,GIRASPV18,MARCEL DASSAULT,BOULOGNE-BILLANCOURT,92100,200054781
200077220,COMMUNE DE BAGE-DOMMARTIN,DE LA MAIRIE,BAGE-DOMMARTIN,1380,200071371
210101028,COMMUNE DE CHEVROUX,DE PONT DE VAUX,CHEVROUX,1190,200071371
765200357,BEREZIAT,DES ESSARDS,MACON,71000,200070308
332073022,BERNARD MATERIELS AGRICOLES,DE L'INDUSTRIE,DAGNEUX,1120,240100610
831072616,BUDAPEST BY CAP SUD,DU MORELLON,SAINT-QUENTIN-FALLAVIER,38070,243800604
318083110,AMPLIFON FRANCE (CCAW),ROMAIN ROLLAND,PARIS,75014,200054781
130005481,FRANCE TRAVAIL,DU DOCTEUR GLEY,PARIS,75020,200054781
884960477,TECHNIQUE SOLAIRE INVEST 49 (TSI 49),ANNET SEGERON,BIARD,86580,200069854
130025919,OFFICE FRANCAIS DE LA BIODIVERSITE (OFB),LOUIS LUMIERE,VINCENNES,94300,200054781
910685528,IRISOLAR 26,OLIVIER PERROY,ROUSSET,13790,200054807
812941458,ELYOR ENERGY SPV3,DES VERGERS,MUDAISON,34130,243400470
210102828,COMMUNE D OUTRIAZ,DE L'ARBEPIN,OUTRIAZ,1430,200042935
210100608,COMMUNE DE BRENOD,PRINCIPALE,BRENOD,1110,200042935
210101010,COMMUNE DE CHEVILLARD,,CHEVILLARD,1430,200042935
378800478,MARC GENTELET,EN BUIRAND,BRENOD,1110,200042935
445221047,SCI DU PONTET,LES LAZINES,BRENOD,1110,200042935
538160524,SAGNAT SOLAIRE,LE LANGAULT,SAINT-HILAIRE-LA-GRAVELLE,41160,200040772
798233011,BASIC-FIT FRANCE (BASIC FIT FRANCE),DES PRECURSEURS,WASQUEHAL,59290,200093201
210102802,COMMUNE D ORDONNAZ,,ORDONNAZ,1510,240100883
210100665,COMMUNE DE LA BURBANCHE,,LA BURBANCHE,1510,200040350
210103297,COMMUNE DE ROSSILLON,HENRI BIDAULD,ROSSILLON,1510,200040350
844192443,TOTALENERGIES CHARGING SERVICES,MICHELET,PUTEAUX,92800,200054781
969502004,ENILIVE FRANCE SARL,TONY GARNIER,LYON,69007,200046977
306916099,ARGEDIS,FRANCOIS JACOB,RUEIL-MALMAISON,92500,200054781
379455231,HOLDING DE RESTAURATION CONCEDEE HRC,VICTOR HUGO,SAINT-OUEN-SUR-SEINE,93400,200054781
16250029,APRR (SAPRR),DU DOCTEUR SCHMITT,SAINT-APOLLINAIRE,21850,242100410
971503578,KALHYGE 1,TRUILLOT,IVRY-SUR-SEINE,94200,200054781
917848830,AFRD 87,DE TOUNY,LAGRAVE,81150,200066124
539362004,LANG ET ASSOCIES RHONE ALPES (LANG & ASSOCIES LYON),TETE D'OR,LYON,69006,200046977
332011287,BERNARD TRUCKS,DE PARME,BOURG-EN-BRESSE,1000,200071751
